id,student_id,correct,created_at,updated_at,old_word_id,old_word_test_id
280,12,true,2020-10-24 16:54:05 +0900,2020-10-24 16:54:05 +0900,322,58
281,12,true,2020-10-24 16:54:09 +0900,2020-10-24 16:54:09 +0900,379,58
282,12,false,2020-10-24 16:54:14 +0900,2020-10-24 16:54:14 +0900,366,58
283,12,true,2020-10-24 16:54:18 +0900,2020-10-24 16:54:18 +0900,69,58
284,12,false,2020-10-24 16:54:24 +0900,2020-10-24 16:54:24 +0900,189,58
285,12,true,2020-10-24 16:54:27 +0900,2020-10-24 16:54:27 +0900,329,58
286,12,true,2020-10-24 16:54:34 +0900,2020-10-24 16:54:34 +0900,190,58
287,12,true,2020-10-24 16:54:38 +0900,2020-10-24 16:54:38 +0900,312,58
288,12,true,2020-10-24 16:54:43 +0900,2020-10-24 16:54:43 +0900,280,58
289,12,true,2020-10-24 16:54:48 +0900,2020-10-24 16:54:48 +0900,325,58
290,12,true,2020-10-24 16:54:52 +0900,2020-10-24 16:54:52 +0900,144,58
291,12,true,2020-10-24 16:54:55 +0900,2020-10-24 16:54:55 +0900,101,58
292,12,true,2020-10-24 16:55:01 +0900,2020-10-24 16:55:01 +0900,154,58
293,12,true,2020-10-24 16:55:05 +0900,2020-10-24 16:55:05 +0900,218,58
294,12,true,2020-10-24 16:55:10 +0900,2020-10-24 16:55:10 +0900,116,58
295,12,true,2020-10-24 16:55:16 +0900,2020-10-24 16:55:16 +0900,434,58
296,12,true,2020-10-24 16:57:25 +0900,2020-10-24 16:57:25 +0900,147,59
297,12,true,2020-10-24 16:57:29 +0900,2020-10-24 16:57:29 +0900,176,59
298,12,true,2020-10-24 16:57:32 +0900,2020-10-24 16:57:32 +0900,193,59
299,12,true,2020-10-24 16:57:36 +0900,2020-10-24 16:57:36 +0900,189,59
300,12,true,2020-10-24 16:57:39 +0900,2020-10-24 16:57:39 +0900,390,59
301,12,true,2020-10-24 16:57:43 +0900,2020-10-24 16:57:43 +0900,272,59
302,12,true,2020-10-24 16:57:47 +0900,2020-10-24 16:57:47 +0900,304,59
303,12,true,2020-10-24 16:57:51 +0900,2020-10-24 16:57:51 +0900,40,59
304,12,true,2020-10-24 16:57:55 +0900,2020-10-24 16:57:55 +0900,245,59
305,12,false,2020-10-24 16:58:00 +0900,2020-10-24 16:58:00 +0900,440,59
306,12,true,2020-10-24 16:58:44 +0900,2020-10-24 16:58:44 +0900,94,60
307,12,true,2020-10-24 16:58:49 +0900,2020-10-24 16:58:49 +0900,53,60
308,12,true,2020-10-24 16:58:53 +0900,2020-10-24 16:58:53 +0900,73,60
309,12,true,2020-10-24 16:58:57 +0900,2020-10-24 16:58:57 +0900,286,60
310,12,true,2020-10-24 16:59:01 +0900,2020-10-24 16:59:01 +0900,301,60
311,12,true,2020-10-24 16:59:05 +0900,2020-10-24 16:59:05 +0900,348,60
312,12,true,2020-10-24 16:59:09 +0900,2020-10-24 16:59:09 +0900,119,60
313,12,true,2020-10-24 16:59:14 +0900,2020-10-24 16:59:14 +0900,366,60
314,12,false,2020-10-24 16:59:21 +0900,2020-10-24 16:59:21 +0900,353,60
